		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000111011   28   20   27   31   31   21   23   27  6.207571 0.623993 SUCCESS  27
000111101   31   17   26   23   20   28   16   30 10.043744 0.261969 SUCCESS  28
000111111   19   18   20   21   29   25   28   17  8.059128 0.427716 SUCCESS  29
001000011   25   24   26   30   31   35   32   30 11.845653 0.158224 SUCCESS  30
001000101   25   28   24   32   21   23   18   26  5.435040 0.710226 SUCCESS  31
001000111   21   23   30   24   18   27   23   18  5.746833 0.675566 SUCCESS  32
001001011   20   20   21   15   31   25   19   28  9.516808 0.300589 SUCCESS  33
001001101   19   26   17   26   28   31   29   22  7.307781 0.503819 SUCCESS  34
001001111   23   26   32   17   22   15   15   24 12.693649 0.122834 SUCCESS  35
001010011   24   28   24   25   23   28   30   24  2.546822 0.959512 SUCCESS  36
001010101   29   23   21   29   21   31   24   25  4.724074 0.786619 SUCCESS  37
001010111   26   28   31   22   27   23   23   32  5.648860 0.686498 SUCCESS  38
001011011   25   21   33   13   26   30   24   36 16.290847 0.038401 SUCCESS  39
001011101   23   21   25   28   21   27   24   20  2.739459 0.949629 SUCCESS  40
001011111   26   28   22   26   20   25   29   28  3.292212 0.914705 SUCCESS  41
001100101   26   16   32   29   24   35   26   22 11.562987 0.171793 SUCCESS  42
001100111   27   24   21   19   30   21   25   17  6.170500 0.628140 SUCCESS  43
001101011   21   24   31   23   23   26   18   28  4.900823 0.768122 SUCCESS  44
001101101   24   25   20   20   20   25   38   17 12.653268 0.124350 SUCCESS  45
001101111   22   28   19   19   20   33   31   26  9.171916 0.328002 SUCCESS  46
001110101   22   32   24   27   29   20   14   18 11.017516 0.200709 SUCCESS  47
001110111   27   22   30   30   32   20   34   24 10.369438 0.240047 SUCCESS  48
001111011   32   17   24   28   32   27   10   30 18.170870 0.019981 SUCCESS  49
001111101   21   16   23   21   20   23   26   23  5.143769 0.742105 SUCCESS  50
001111111   22   16   24   22   33   26   35   15 15.229693 0.054830 SUCCESS  51
010000011   14   23   19   29   19   16   26   28 11.676848 0.166215 SUCCESS  52
010000111   22   25   21   31   31   37   37   31 19.743072 0.011353 SUCCESS  53
010001011   25   23   26   29   14   25   17   29  8.916392 0.349398 SUCCESS  54
010001111   27   21   20   18   25   25   27   22  3.891303 0.866795 SUCCESS  55
010010011   31   30   23   25   32   21   28   24  6.767606 0.561901 SUCCESS  56
010010111   21   27   21   20   25   27   20   24  3.213436 0.920258 SUCCESS  57
010011011   24   23   24   20   30   37   29   27 10.156942 0.254183 SUCCESS  58
010011111   25   21   34   19   20   18   21   26  8.797236 0.359689 SUCCESS  59
010100011   25   22   22   21   34   20   18   19  8.686685 0.369412 SUCCESS  60
010100111   17   29   25   27   29   24   24   19  5.663423 0.684875 SUCCESS  61
010101011   26   22   23   23   24   28   23   27  1.443964 0.993600 SUCCESS  62
010101111   26   25   26   22   26   24   21   26  1.189764 0.996742 SUCCESS  63
010110011   25   22   14   25   14   19   23   32 13.202049 0.105084 SUCCESS  64
010110111   20   28   24   14   31   21   19   25  9.542625 0.298605 SUCCESS  65
010111011   22   19   24   30   17   20   24   22  6.203599 0.624437 SUCCESS  66
010111111   29   24   30   25   19   27   26   27  4.165363 0.841904 SUCCESS  67
011000111   29   21   20   29   18   23   24   24  4.933922 0.764615 SUCCESS  68
011001111   18   21   24   25   18   26   25   24  4.111081 0.846965 SUCCESS  69
011010111   25   24   35   31   27   20   16   34 14.630602 0.066739 SUCCESS  70
011011111   22   32   18   22   18   28   26   25  7.078074 0.528233 SUCCESS  71
011101111   24   28   28   27   25   18   31   24  4.995486 0.758059 SUCCESS  72
011111111   19   16   24   21   36   29   32   19 15.001310 0.059120 SUCCESS  73
100000000   24   28   24   18   21   17   21   22  5.838848 0.665278 SUCCESS  74
100010000   17   23   28   35   15   21   28   26 12.602958 0.126260 SUCCESS  75
100100000   23   23   28   24   25   20   21   24  2.052986 0.979344 SUCCESS  76
100101000   24   19   18   38   27   34   27   26 15.401808 0.051788 SUCCESS  77
100110000   30   29   27   19   28   38   20   32 15.403132 0.051765 SUCCESS  78
100111000   22   25   16   17   28   15   23   21 10.430340 0.236111 SUCCESS  79
101000000   20   27   21   22   26   21   29   17  5.653494 0.685981 SUCCESS  80
101000100   16   24   27   29   20   29   27   28  6.731859 0.565820 SUCCESS  81
101001000   26   17   32   20   30   27   19   18 10.280732 0.245872 SUCCESS  82
101001100   25   32   25   28   32   33   28   19 10.395255 0.238372 SUCCESS  83
101010000   22   25   21   19   33   27   28   28  6.503476 0.591022 SUCCESS  84
101010100   25   31   19   19   38   27   21   24 12.951821 0.113518 SUCCESS  85
101011000   28   22   31   24   23   25   31   26  4.699581 0.789150 SUCCESS  86
101011100   19   32   29   22   26   26   22   33  8.419245 0.393624 SUCCESS  87
101100000   29   25   30   17   18   24   28   34 10.757358 0.215830 SUCCESS  88
101100100   25   25   31   21   19   30   17   19  8.484119 0.387662 SUCCESS  89
